Year	Week	Total	Bad	Reg_time	Work_time	Claim	Rate
2010	2	15	1	257	8921	0	3,4
2010	3	763	35	2135	25489	1	3,43262411347518
2010	4	769	52	1003	48695	1	3,41666666666667
2010	5	845	51	1459	31742	1	3,39482200647249
2010	6	791	39	3628	25259	2	3,29032258064516
2010	7	733	58	1718	28581	4	3,43272727272727
2010	8	642	54	1349	35209	6	3,36324786324786
2010	9	589	37	2115	27855	3	3,33802816901408
2010	10	745	72	2395	27419	6	3,38339920948617
2010	11	619	29	2446	29590	3	3,33644859813084
2010	12	813	35	2641	20266	6	3,39455782312925
2010	13	754	35	2251	23792	4	3,29924242424242
2010	14	815	33	3330	20917	8	3,19494584837545
2010	15	728	15	1650	24221	5	3,26209677419355
2010	16	721	24	3388	25589	4	3,32142857142857
2010	17	743	7	2470	22759	5	3,24528301886792
2010	18	603	6	2879	19745	2	3,30841121495327
2010	19	527	5	3071	20743	1	3,42051282051282
2010	20	506	17	2368	23264	1	3,34210526315789
2010	21	595	16	2703	24622	1	3,28934010152284
2010	22	605	10	1877	24627	1	3,42857142857143
2010	23	760	15	2790	39807	2	3,40167364016736
2010	24	704	15	3119	22687	0	3,28112449799197
2010	25	519	10	2225	32857	1	3,32065217391304
2010	26	571	18	2513	43597	0	3,34361233480176
2010	27	681	30	1681	31374	1	3,30278884462151
2010	28	757	28	2513	29222	3	3,2996632996633
2010	29	622	25	4332	48410	1	3,30232558139535
2010	30	562	18	2058	43026	1	3,27678571428571
2010	31	697	20	2028	39448	2	3,24152542372881
2010	32	749	23	2888	34290	7	3,29900332225914
2010	33	735	17	2717	44397	0	3,25320512820513
2010	34	690	42	2802	55914	3	3,27450980392157
2010	35	631	23	6499	38608	1	3,23735408560311
2010	36	807	25	1951	42327	3	3,24534161490683
2010	37	726	17	1602	29829	2	3,28346456692913
2010	38	769	25	3121	32398	2	3,3006993006993
2010	39	801	25	2768	25535	3	3,23364485981308
2010	40	752	27	1298	36108	6	3,29126213592233
2010	41	959	23	2455	37427	1	3,36699507389163
2010	42	796	23	1394	41199	1	3,37883959044369
2010	43	791	15	1680	42438	3	3,51242236024845
2010	44	785	23	1826	26504	4	3,40294117647059
2010	45	498	15	2926	24230	2	3,39306358381503
2010	46	987	36	2351	30934	2	3,45535714285714
2010	47	822	20	2417	26425	2	3,46802325581395
2010	48	922	24	1445	41222	5	3,38829787234043
2010	49	900	27	2728	33727	3	3,33048433048433
2010	50	900	22	1581	32430	6	3,41917808219178
2010	51	833	43	2319	37409	3	3,47176079734219
2010	52	872	33	4268	36743	2	3,42592592592593
2010	53	591	26	3454	31193	3	3,42533936651584
2011	2	6	0	120	11218	0	4,75
2011	3	790	50	6080	31108	3	3,37308868501529
2011	4	900	39	2240	58787	2	3,46666666666667
2011	5	874	21	3183	43138	0	3,3768115942029
2011	6	851	25	2582	31670	0	3,32352941176471
2011	7	931	36	2131	37235	1	3,43137254901961
2011	8	923	28	2857	47281	0	3,28960396039604
2011	9	674	20	3179	40429	2	3,27611940298507
2011	10	1018	20	7313	25043	2	3,32323232323232
2011	11	569	10	4820	42619	2	3,42723004694836
2011	12	837	28	3588	40834	1	3,49698795180723
2011	13	936	35	4448	28533	2	3,43909348441926
2011	14	945	22	2276	32616	3	3,40979381443299
2011	15	879	17	1759	26709	0	3,45212765957447
2011	16	870	26	2906	57844	1	3,3359375
2011	17	922	19	2903	50443	2	3,46683673469388
2011	18	867	19	5524	32645	0	3,40712468193384
2011	19	726	8	1682	29844	0	3,41935483870968
2011	20	738	2	3683	42499	0	3,36259541984733
2011	21	843	28	4420	47769	2	3,40762463343109
2011	22	841	20	3939	45976	6	3,36395759717314
2011	23	927	9	4048	28605	2	3,32848837209302
2011	24	823	18	2804	36191	3	3,45098039215686
2011	25	684	7	3528	34412	0	3,25390625
2011	26	831	23	6283	28049	3	3,37677053824363
2011	27	784	14	5534	34785	2	3,4006309148265
2011	28	757	17	6592	30114	3	3,45487364620939
2011	29	849	10	3763	49866	1	3,36392405063291
2011	30	752	18	2646	38634	3	3,48096885813149
2011	31	732	16	2157	43990	4	3,30970149253731
2011	32	807	17	2747	34714	5	3,30967741935484
2011	33	754	18	1404	36949	3	3,27372262773723
2011	34	676	9	2793	44168	1	3,325
2011	35	822	13	2118	51937	1	3,34228187919463
2011	36	758	15	3475	52309	1	3,36236933797909
2011	37	745	15	1909	47169	2	3,38795986622074
2011	38	737	18	3784	32543	1	3,36466165413534
2011	39	749	18	2532	58369	1	3,37388724035608
2011	40	793	16	1949	45484	6	3,30578512396694
2011	41	755	11	2699	32889	2	3,28486646884273
2011	42	818	17	3791	35009	0	3,31412103746398
2011	43	869	20	2417	25188	0	3,29736842105263
2011	44	1014	20	2624	34195	2	3,31094527363184
2011	45	725	19	2353	29986	3	3,37455830388693
2011	46	935	21	3639	29950	3	3,32857142857143
2011	47	889	17	2754	38523	2	3,22651933701657
2011	48	798	17	1938	30316	0	3,3810888252149
2011	49	859	17	1832	35627	0	3,36974789915966
2011	50	859	21	2177	34315	0	3,33247422680412
2011	51	857	13	3631	34724	0	3,35526315789474
2011	52	817	18	1682	29542	0	3,43827160493827
2011	53	602	9	1905	23551	0	3,52049180327869
2012	1	16	0	1023	12138	0	3,42857142857143
2012	2	907	15	3302	29332	1	3,37652811735941
2012	3	986	18	2407	32151	0	3,36026200873362
2012	4	919	22	1442	30709	1	3,37634408602151
2012	5	1081	16	6587	26044	2	3,38215102974828
2012	6	926	6	5423	24126	0	3,39782016348774
2012	7	917	16	3921	26656	0	3,32418952618454
2012	8	722	10	3625	24156	0	3,33110367892977
2012	9	991	15	2825	34767	0	3,34975369458128
2012	10	453	10	2755	56657	0	3,51633986928105
2012	11	1066	15	2135	37917	0	3,40318906605923
2012	12	795	18	2975	36607	0	3,36070381231672
2012	13	826	14	1781	25938	1	3,39520958083832
2012	14	968	9	2370	40356	1	3,37046632124352
2012	15	916	23	2734	66844	2	3,31688311688312
2012	16	878	10	4225	33943	2	3,29057591623037
2012	17	982	9	2685	40069	1	3,35372340425532
2012	18	611	10	4103	20412	0	3,38007380073801
2012	19	361	5	2582	29821	0	3,35333333333333
2012	20	806	10	3617	26857	2	3,39938080495356
2012	21	892	12	5108	31872	0	3,5012853470437
2012	22	804	19	4177	33651	0	3,51111111111111
2012	23	930	14	4996	30047	0	3,45822102425876
2012	24	548	9	10644	40029	1	3,29918032786885
2012	25	813	15	3525	32439	2	3,35294117647059
2012	26	886	15	8966	33578	2	3,29040404040404
2012	27	853	22	1666	51015	0	3,42521994134897
2012	28	794	22	3081	49812	2	3,33962264150943
2012	29	755	18	2255	26672	2	3,33003300330033
2012	30	776	24	2392	24806	0	3,28307692307692
2012	31	878	8	4009	16548	0	3,22997416020672
2012	32	875	12	4262	32206	2	3,26943005181347
2012	33	880	17	4208	33580	0	3,36578947368421
2012	34	780	23	3686	23319	2	3,36285714285714
2012	35	753	26	5124	39348	1	3,39308176100629
2012	36	965	17	9046	30891	0	3,21718377088306
2012	37	778	19	3622	50528	0	3,30376344086022
2012	38	835	11	9225	34904	1	3,38793103448276
2012	39	902	25	3303	38614	2	3,29974160206718
2012	40	886	25	2606	30135	0	3,20505617977528
2012	41	1025	18	5257	41010	1	3,33743842364532
2012	42	865	16	5510	35888	1	3,29943502824859
2012	43	896	24	3271	32551	1	3,328125
2012	44	950	17	4087	33358	1	3,32020997375328
2012	45	742	11	3341	30942	1	3,30211480362538
2012	46	1114	22	2809	36960	0	3,28062360801782
2012	47	954	20	5169	31156	1	3,32093023255814
2012	48	984	14	4330	41081	0	3,3421686746988
2012	49	1022	9	7919	30904	2	3,34712643678161
2012	50	923	18	3500	44345	1	3,25906735751295
2012	51	1013	17	6896	44455	3	3,35763097949886
2012	52	1012	13	4953	29791	3	3,29923273657289
2012	53	1	0	101	24448	0	4
2013	1	21	0	449	17107	0	3,23076923076923
2013	2	745	12	3221	58944	2	3,36940298507463
2013	3	1287	19	7353	35203	1	3,29518072289157
2013	4	1259	12	4904	39793	4	3,25720164609054
2013	5	1034	21	3462	28356	1	3,29032258064516
2013	6	1319	19	5312	21145	0	3,33066666666667
2013	7	967	22	9750	43839	1	3,3825
2013	8	831	18	3781	30956	1	3,38888888888889
2013	9	931	28	4986	45911	1	3,43119266055046
2013	10	659	11	5349	89287	0	3,29545454545455
2013	11	896	23	2616	46876	2	3,29682997118156
2013	12	1047	15	2784	27112	1	3,34870317002882
2013	13	841	21	3262	36183	4	3,36363636363636
2013	14	826	8	1769	40590	1	3,38031914893617
2013	15	897	21	2659	38267	2	3,25065274151436
2013	16	832	21	3535	52143	2	3,36936936936937
2013	17	917	18	2882	30631	1	3,31510416666667
2013	18	326	12	2356	23788	0	3,312
2013	19	383	12	3112	58942	1	3,34722222222222
2013	20	905	22	3260	26503	2	3,34139784946237
2013	21	855	35	8508	27314	1	3,32047477744807
2013	22	803	18	2700	29586	0	3,2398753894081
2013	23	1012	29	5904	43741	1	3,24663677130045
2013	24	840	7	5949	28813	0	3,23098591549296
2013	25	846	18	3331	32564	1	3,37677053824363
2013	26	891	11	3473	27409	2	3,28660436137072
2013	27	947	29	5454	27931	0	3,33493975903614
2013	28	1059	24	4994	38031	0	3,31796116504854
2013	29	1085	16	5783	37944	2	3,3125
2013	30	949	12	3485	28035	4	3,32203389830508
2013	31	963	9	2316	39600	1	3,2565445026178
2013	32	954	14	3113	43837	1	3,29394812680115
2013	33	891	11	8018	34172	2	3,36363636363636
2013	34	903	9	4572	34840	0	3,25
2013	35	946	10	5483	25773	0	3,28947368421053
2013	36	878	5	7655	24544	0	3,25
2013	37	980	8	5396	28058	0	3,28502415458937
2013	38	873	13	4139	27752	0	3,29426433915212
2013	39	1147	12	7634	32944	0	3,28787878787879
2013	40	1179	23	5482	33799	0	3,30786516853933
2013	41	1330	9	3956	39914	0	3,2962962962963
2013	42	1030	13	3677	20787	1	3,35885167464115
2013	43	1109	19	2308	34728	0	3,36619718309859
2013	44	1230	17	3620	36943	0	3,3811394891945
2013	45	833	9	5746	20806	0	3,48414985590778
2013	46	976	16	2750	25798	0	3,31159420289855
2013	47	1170	11	3586	33359	0	3,48906560636183
2013	48	956	9	4484	28141	0	3,36666666666667
2013	49	1060	16	8083	29008	0	3,42916666666667
2013	50	1043	12	5552	37693	0	3,39906103286385
2013	51	896	18	2956	31105	0	3,33139534883721
2013	52	904	7	5561	24845	0	3,47687861271676
2013	53	152	1	1913	23095	0	3,49122807017544
2014	1	6	0	170	10900	0	3
2014	2	456	4	2663	26416	0	3,59459459459459
2014	3	1013	9	1411	36443	0	3,39740820734341
2014	4	987	6	3034	36003	1	3,48578199052133
2014	5	1076	8	4340	38221	0	3,38785046728972
2014	6	1120	6	5471	22224	1	3,4243119266055
2014	7	1040	15	2506	30247	0	3,52256532066508
2014	8	993	8	5016	28433	1	3,42602040816327
2014	9	963	6	3051	27620	0	3,48668280871671
2014	10	1025	8	4592	31796	0	3,46218487394958
2014	11	687	5	6066	38277	0	3,52
2014	12	1000	22	3540	37722	1	3,44144144144144
2014	13	981	11	2808	29881	0	3,54405286343612
2014	14	1048	14	2364	32502	0	3,61501210653753
2014	15	1080	11	5908	29916	0	3,52391304347826
2014	16	1009	8	4880	30491	0	3,51477832512315
2014	17	891	5	3360	24994	0	3,671875
2014	18	586	3	7265	24148	0	3,46276595744681
2014	19	706	15	5645	40375	0	3,5738255033557
2014	20	911	11	2188	34695	0	3,4375
2014	21	909	13	2986	42867	0	3,48492462311558
2014	22	922	13	2865	41679	0	3,42857142857143
2014	23	1033	14	2348	31742	0	3,50755939524838
2014	24	427	11	2185	24186	0	3,50847457627119
2014	25	935	13	6353	49788	0	3,68279569892473
2014	26	852	20	3108	29438	0	3,39154929577465
2014	27	1052	16	4912	31203	0	3,42947368421053
2014	28	943	30	6417	33447	0	3,37939110070258
2014	29	761	4	3201	25076	0	3,47586206896552
2014	30	808	12	2413	31301	0	3,58611111111111
2014	31	816	12	7885	26596	0	3,50719424460432
2014	32	884	10	2944	28148	0	3,5
2014	33	803	10	3654	32010	0	3,43571428571429
2014	34	737	12	2223	20709	0	3,56756756756757
2014	35	833	14	1470	21640	0	3,53153153153153
2014	36	894	18	3153	26863	0	3,49305555555556
2014	37	884	11	5116	25137	0	3,51438848920863
2014	38	895	21	2797	26536	0	3,52063492063492
2014	39	1056	17	4206	20792	0	3,67549668874172
2014	40	1062	18	2027	26235	0	3,74545454545455
2014	41	939	30	3839	26743	0	3,69852941176471
2014	42	1011	23	2340	21909	0	3,72314049586777
2014	43	1080	22	2986	21058	0	3,74329501915709
2014	44	965	32	2042	23191	0	3,55868544600939
2014	45	570	6	4655	20599	0	3,72727272727273
2014	46	963	19	2663	19912	0	3,80981595092025
2014	47	910	5	2797	12536	0	3,98947368421053
2014	48	53	0	503	15597	0	4,71428571428571
